Place Name,State,Latitude,Longitude
"Sorabji Compound, Sardar Colony, Ahmedabad, Gujarat",Not Delhi,23.054422,72.570023
"Shivarampet, Mysuru, Karnataka",Not Delhi,12.310266,76.647987
"Pimple Saudagar, Pimpri-Chinchwad, Maharashtra",Not Delhi,18.592562,73.788132
"Munshi Pulia, Lucknow, Uttar Pradesh",Not Delhi,26.884535,80.994736
"Kathawatia Urf Kathaur, Uttar Pradesh",Not Delhi,26.722151,83.366249
"Kirari Suleman Nagar, New Delhi",Delhi,28.701616,77.048088
"Farooqnagar, Telangana",Not Delhi,17.073072,78.210449
"Azad Nagar, Hisar, Haryana",Not Delhi,29.122923,75.699387
"ASHIANA, Bankura, West Bengal",Not Delhi,23.230000,87.078003
"Gaurav Nagar, Islampur, Bihar",Not Delhi,25.145596,85.202698
"Sindhi Colony, Akola, Maharashtra",Not Delhi,20.693438,77.003197
"Chakisain, Uttarakhand",Not Delhi,30.153292,78.986504
"Kundan Nagar, Aligarh, Uttar Pradesh",Not Delhi,27.910110,78.054649
"Madhuban, Chittorgarh, Rajasthan",Not Delhi,24.864614,74.616852
"Jasola, New Delhi",Delhi,28.548244,77.288719
"Akshay Park, Wakad, Pimpri-Chinchwad, Maharashtra",Not Delhi,18.607235,73.769249
"Madanayakahalli, Karnataka",Not Delhi,13.059039,77.463959
"Haziapur, Gopalganj, Bihar",Not Delhi,26.467884,84.444649
"Kasba, Kolkata, West Bengal",Not Delhi,22.517618,88.384048
"Mominpura, Risod, Maharashtra",Not Delhi,19.974880,76.785637
"Garhi Jassi, Loni Dehat, Uttar Pradesh",Not Delhi,28.766350,77.285294
"Desu Colony, Vasant Kunj, New Delhi",Delhi,28.510918,77.175064
"Koregaon Park, Pune, Maharashtra",Not Delhi,18.536207,73.893974
"Huda Sector, Narnaul, Haryana",Not Delhi,28.062428,76.105087
"Saradapally, Panagarh, West Bengal",Not Delhi,23.444250,87.451111
"Ponnempadam, Vazhayur, Kerala",Not Delhi,11.218044,75.881927
"Hauz Khas, New Delhi",Delhi,28.549507,77.203613
"Kalachauki, Mahul, Chembur, Mumbai, Maharashtra",Not Delhi,19.009773,72.901756
"Pathik A&B, Kandivali East, Mumbai, Maharashtra",Not Delhi,19.212009,72.861557
"Nirmal Nagar Society, Nana Varachha, Surat, Gujarat",Not Delhi,21.220821,72.884438
"P&T Colony, RT Nagar, Bengaluru, Karnataka ",Not Delhi,13.022119,77.593231
"RT Nagar, Bengaluru, Karnataka",Not Delhi,13.019318,77.595718
"Rajendra Colony, Faridabad, Haryana",Not Delhi,28.429411,77.312271
"Hatband, Chhattisgarh",Not Delhi,21.288954,81.555389
"Chitrakoot, Jaipur, Rajasthan",Not Delhi,26.901875,75.738869
"Narayan Nagar, Khandwa, Madhya Pradesh",Not Delhi,21.819508,76.366623
"Gharoli Dairy Farm, New Delhi",Delhi,28.612646,77.331009
"Lala Ka Bagh, Saharanpur, Uttar Pradesh",Not Delhi,29.962667,77.552727
"Olaichanditala, Hooghly, West Bengal",Not Delhi,22.910748,88.389893
"K. K. Nagar, Chennai, Tamil Nadu",Not Delhi,13.041007,80.199432
"Koyana Nagar, Satara, Maharashtra",Not Delhi,17.694113,74.000916
