Place Name,State,Latitude,Longitude
"Danavai Peta, Rajamahendravaram",Andhra Pradesh,17.032101,81.7939
"Uttam Nagar, Hastsal, New Delhi",Delhi,28.636944,77.052849
"Nandanvan Colony, Padegaon, Aurangabad",Maharashtra,19.890022,75.305504
"Kharadi, Pune",Maharashtra,18.550985,73.934982
"Kothapeta, Vinukonda",Andhra Pradesh,16.052683,79.740021
"Lal Darwaja, Ahmedabad",Gujarat,23.026352,72.581902
Yerawada,Maharashtra,18.556032,73.877495
"Langre Ki Chowki, Civil Lines, Agra",Uttar Pradesh,27.206295,78.02739
"Kanjhawala, New Delhi",Delhi,28.73473,77.004173
"Kankarbagh, Patna",Bihar,25.593819,85.16053
"Jattan Mohalla, Hoshiarpur",Punjab,31.535049,75.91011
"New Sohabatia Bagh, Allahabad",Uttar Pradesh,25.448093,81.867058
Gola Bazar,Uttar Pradesh,26.351498,83.343399
"Karve Nagar, Pune",Maharashtra,18.489759,73.820297
"Perambur, Chennai",Tamil Nadu,13.116018,80.231667
"Yakubpur, Noida",Uttar Pradesh,28.523951,77.40995
"Sunderpur, Kurukshetra, Haryana",Haryana,29.95948,76.865005
"Dargah Bazar, Ajmer",Rajasthan,26.460005,74.629799
"Topdara, Ajmer",Rajasthan,26.458269,74.638405
"Jhandewalan, New Delhi",Delhi,28.647284,77.202835
"Hata Bazar, Hata",Uttar Pradesh,26.371571,83.469711
"Najafgarh, New Delhi",Delhi,28.609013,76.985451
"Dhilwan, Jalandhar",Punjab,31.315046,75.645538
"Agroya Nagar, Latur",Maharashtra,18.411379,76.551811
"Periyar Nagar, Erode",Tamil Nadu,11.33282,77.724464
"Sector 15A, Faridabad, Haryana",Haryana,28.395403,77.315292
"Methal nagar, Ambernath, Thane",Maharashtra,19.206821,73.202995
"Tarnaka, Secunderabad",Hyderabad,17.427999,78.53849
"Bakramandi, Itwari, Nagpur",Maharashtra,21.15848,79.095932
"Hariyali, Mumbai",Maharashtra,19.103491,72.930786
"Simada Gam, Surat",Gujarat,21.221901,72.900063
"Rahara, Kolkata",West Bengal,22.723703,88.381622
Chandannagar,West Bengal,22.864773,88.363258
"Gandhi Chowk, Nagaur",Rajasthan,27.199755,73.741013
"Dayal Bagh, Agra",Uttar Pradesh,27.229446,78.007179
"Udwant Nagar, Arrah",Bihar,25.558577,84.672592
"Tilak Nagar, Khatauli",Uttar Pradesh,29.27692,77.742348
"Mithila Nagar, Meerpet",Hyderabad,17.327404,78.521362
Jillelaguda,Hyderabad,17.331709,78.529747
"Pimple Gurav, New Sangavi, Pune",Maharashtra,18.58712,73.813034
"Morapora, Cooch Behar",West Bengal,26.323757,89.450188
"Mango, Jamshedpur",Jharkhand,22.834177,86.219185
"Sorabji Compound, Sardar Colony, Ahmedabad",Gujarat,23.054422,72.570023
"Shivarampet, Mysuru",Karnataka,12.310266,76.647987
"Pimple Saudagar, Pimpri-Chinchwad",Maharashtra,18.592562,73.788132
"Munshi Pulia, Lucknow",Uttar Pradesh,26.884535,80.994736
Kathawatia Urf Kathaur,Uttar Pradesh,26.722151,83.366249
"Kirari Suleman Nagar, New Delhi",Delhi,28.701616,77.048088
Farooqnagar,Not Delhi,17.073072,78.210449
"Azad Nagar, Hisar, Haryana",Haryana,29.122923,75.699387
"ASHIANA, Bankura",West Bengal,23.23,87.078003
"Gaurav Nagar, Islampur",Bihar,25.145596,85.202698
"Sindhi Colony, Akola",Maharashtra,20.693438,77.003197
"Chakisain, Uttarakhand",Uttar Pradesh,30.153292,78.986504
"Kundan Nagar, Aligarh",Uttar Pradesh,27.91011,78.054649
"Madhuban, Chittorgarh",Rajasthan,24.864614,74.616852
"Jasola, New Delhi",Delhi,28.548244,77.288719
"Akshay Park, Wakad, Pimpri-Chinchwad",Maharashtra,18.607235,73.769249
Madanayakahalli,Karnataka,13.059039,77.463959
"Haziapur, Gopalganj",Bihar,26.467884,84.444649
"Kasba, Kolkata",West Bengal,22.517618,88.384048
"Mominpura, Risod",Maharashtra,19.97488,76.785637
"Garhi Jassi, Loni Dehat",Uttar Pradesh,28.76635,77.285294
"Desu Colony, Vasant Kunj, New Delhi",Delhi,28.510918,77.175064
"Koregaon Park, Pune",Maharashtra,18.536207,73.893974
"Huda Sector, Narnaul, Haryana",Haryana,28.062428,76.105087
"Saradapally, Panagarh",West Bengal,23.44425,87.451111
"Ponnempadam, Vazhayur",Kerala,11.218044,75.881927
"Hauz Khas, New Delhi",Delhi,28.549507,77.203613
"Kalachauki, Mahul, Chembur, Mumbai",Maharashtra,19.009773,72.901756
"Pathik A&B, Kandivali East, Mumbai",Maharashtra,19.212009,72.861557
"Nirmal Nagar Society, Nana Varachha, Surat",Gujarat,21.220821,72.884438
"P&T Colony, RT Nagar, Bengaluru ",Karnataka,13.022119,77.593231
"RT Nagar, Bengaluru",Karnataka,13.019318,77.595718
"Rajendra Colony, Faridabad, Haryana",Haryana,28.429411,77.312271
Hatband,Chhattisgarh,21.288954,81.555389
"Chitrakoot, Jaipur",Rajasthan,26.901875,75.738869
"Narayan Nagar, Khandwa",Madhya Pradesh,21.819508,76.366623
"Gharoli Dairy Farm, New Delhi",Delhi,28.612646,77.331009
"Lala Ka Bagh, Saharanpur",Uttar Pradesh,29.962667,77.552727
"Olaichanditala, Hooghly",West Bengal,22.910748,88.389893
"K. K. Nagar, Chennai",Tamil Nadu,13.041007,80.199432
"Koyana Nagar, Satara",Maharashtra,17.694113,74.000916
"KAS Nagar, Karungalpalayam, Erode",Tamil Nadu,11.351302,77.738434
"Bhadrakali, Uttarpara Kotrung",West Bengal,22.674788,88.347237
"Kautha, Nanded",Maharashtra,19.135532,77.32383
"Adarsh Colony, Faridabad, Haryana",Haryana,28.406277,77.295822
"Subhash Nagar, Hardoi",Uttar Pradesh,27.399679,80.11927
"Hanuman Colony, Guna",Madhya Pradesh,24.646311,77.316887
"Anna Nagar, Palani",Tamil Nadu,10.452986,77.517242
"Chandausi, Moradabad",Uttar Pradesh,28.816015,78.771858
"Kalu Kuwana, Banda",Uttar Pradesh,25.475416,80.344963
Air Force Area,Uttar Pradesh,26.756035,83.424019
"Anand Nagar, Osmanabad",Maharashtra,18.172821,76.03801
"Old City, Gondal",Gujarat,21.959015,70.800842
"Gobarsahi, Muzaffarpur",Bihar,26.107294,85.358841
"Green Park, Dhule",Maharashtra,20.888765,74.771164
"Basavanagar, Bengaluru",Karnataka,12.967183,77.680382
"Somesh Vihar, Chhawla, New Delhi",Delhi,28.55658,77.014702
Sago Bandh,Uttar Pradesh,23.903416,83.115692
"Pratap Nagar, Mayur Vihar, New Delhi",Delhi,28.624535,77.104065
Ranga Reddy,Not Delhi,17.390654,77.834694
"Vellayil, Kozhikode",Kerala,11.267495,75.77282
"Yamuna Vihar, Shahdara, New Delhi",Delhi,28.700939,77.272102
"Eranhippalam, Kozhikode",Kerala,11.279343,75.784348
"Haridarshan Society, Kamrej",Gujarat,21.265884,72.951202
"Edodi, Vadakara",Kerala,11.597591,75.593025
"Ramayan Nagari, Bhandara",Maharashtra,21.175398,79.651016
"Kshepakali Para, Katwa",West Bengal,23.645163,88.12899
"Nehru Park, Akola",Maharashtra,20.704458,77.000114
"Vatika Colony, Padrauna",Uttar Pradesh,26.896267,83.9804
Magrahat-II,West Bengal,22.240862,88.378754
"Meerut Cantt, Meerut",Uttar Pradesh,28.993757,77.682243
Vedayapalem,Andhra Pradesh,14.411602,79.957672
"Ramnagar, Bardoli",Gujarat,21.127951,73.103119
Damaali,Maharashtra,19.909174,73.225578
"Maangelwada, Jawhar",Maharashtra,19.907251,73.229721
"Durga Agraharam, Vijayawada",Andhra Pradesh,16.515804,80.63398
Thirunagar,Tamil Nadu,9.884512,78.052353
Jaltolia,Bihar,26.36832,84.400032
"Adajan, Surat",Gujarat,21.192572,72.799736
"Suthiya Pura, Bharuch",Gujarat,21.699881,72.993675
"Humchand Nagar, Kannad",Maharashtra,20.26108,75.133263
"Changra Nagar, Saahrsa",Bihar,25.883163,86.613335
"Kavi Nagar, Ghaziabad",Uttar Pradesh,28.663649,77.452271
"Royal City, Thanjavur",Tamil Nadu,10.794356,79.152161
"Mangal Nagar, Saharanpur",Uttar Pradesh,29.967157,77.552391
"Arundelpet, Guntur",Andhra Pradesh,16.305141,80.4403
"Shahapur, Belgaum",Karnataka,15.842956,74.517593
"Kapileswar Colony, Belgaum",Karnataka,15.84849,74.519058
"Eiswari Nagar, Thanjavur",Tamil Nadu,10.76478,79.111809
"Juhi, Kanpur",Uttar Pradesh,26.441172,80.318527
"Nature Valley Homes Saroli, Surat",Gujarat,21.194984,72.885963
"Enayat Colony, Gaya",Bihar,24.793182,85.003525
"Edalakudi, Nagercoil",Tamil Nadu,8.165975,77.445312
Vadiveeswaram,Tamil Nadu,8.145766,77.428604
"Sevvalpatti, Kovilpatti",Tamil Nadu,9.179168,77.873825
"Tandon Bagicha, Damoh",Madhya Pradesh,23.831814,79.435226
"Rangirkhari, Silchar",Assam,24.811365,92.796753
"Bajepratappur, Burdwan",West Bengal,23.259977,87.87632
"West Vinod Nagar, New Delhi",Delhi,28.702398,77.220932
"Nathayyapalem, Visakhapatnam",Andhra Pradesh,17.711826,83.196381
"Hmar Veng, Kolasib",Mizoram,24.236986,92.676147
"Bhaba Nagar, Brahmapur",Odisha,19.312681,84.804306
"Krishna Colony, Hindaun City",Rajasthan,26.737024,77.026207
"Kareemabad, Warangal",Not Delhi,17.960342,79.593246
"Bekarbandh, Dhanbad",Jharkhand,23.801523,86.425964
"Palakkad, Pollachi",Tamil Nadu,10.660207,76.996727
"Morya Nagar, Nala Sopara",Maharashtra,19.426611,72.813583
Korroni Thanda,Not Delhi,16.694265,78.91008
